Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,1000000,0,810924
2,1075000,0,520416
3,1150000,0,553428
4,1225000,0,619204
5,1300000,0,641988
6,1375000,0,650072
7,1450000,0,696220
8,1525000,0,715344
9,1600000,0,758076
10,1675000,0,838324
11,1750000,0,798620
12,1825000,0,834816
13,1900000,0,845272
14,1975000,0,928160
15,2050000,0,906708
16,2125000,0,951336
17,2200000,1,958572
18,2275000,1,967904
19,2350000,0,963892
20,2425000,1,990672
21,2500000,1,982764
22,2575000,0,980520
23,2650000,1,1043136
24,2725000,0,1012272
25,2800000,1,1034156
26,2875000,1,1064300
27,2950000,1,1139440
28,3025000,1,1136104
29,3100000,1,1189556
30,3175000,1,1259816
31,3250000,1,1203272
32,3325000,1,1265640
33,3400000,1,1262312
34,3475000,1,1285956
35,3550000,1,1317236
36,3625000,1,1463280
37,3700000,1,1480552
38,3775000,1,1419796
39,3850000,1,1446472
40,3925000,1,1580084
