Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
2,1075000,1,831836
3,1150000,0,824856
4,1225000,0,906952
5,1300000,0,896960
6,1375000,1,934592
7,1450000,1,1033148
8,1525000,1,1039296
9,1600000,1,1114660
10,1675000,1,1151624
11,1750000,1,1175780
12,1825000,1,1203384
13,1900000,1,1261232
14,1975000,1,1287384
15,2050000,1,1322456
16,2125000,1,1414416
17,2200000,1,1446112
18,2275000,1,1486476
19,2350000,1,1538060
20,2425000,1,1568428
21,2500000,1,1628132
22,2575000,1,1665036
23,2650000,1,1747640
24,2725000,1,1765096
25,2800000,1,1819040
26,2875000,1,1807532
27,2950000,1,1824196
28,3025000,1,1878840
29,3100000,1,1987640
30,3175000,1,1949808
31,3250000,2,2093844
32,3325000,1,1967336
33,3400000,2,2118552
34,3475000,2,2183844
35,3550000,2,2176064
36,3625000,2,2272268
37,3700000,2,2299200
38,3775000,2,2293116
39,3850000,2,2357580
40,3925000,2,2432496
