Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,10000,0,139224
2,34744,0,87800
3,59496,0,150408
4,84248,0,216964
5,109000,0,201752
6,133744,0,248896
7,158496,0,245500
8,183248,0,284260
9,208000,0,322016
10,232744,0,398428
11,257496,0,429960
12,282248,0,430264
13,307000,0,478664
14,331744,0,481520
15,356496,0,550940
16,381248,0,555440
17,406000,0,609888
18,430744,0,618440
19,455496,0,647780
20,480248,0,670480
21,505000,0,697500
22,529744,0,720576
23,554496,0,704864
24,579248,0,735732
25,604000,0,763604
26,628744,0,754508
27,653496,0,839632
28,678248,0,773572
29,703000,0,783232
30,727744,0,734440
31,752496,0,718216
32,777248,0,827552
33,802000,0,773988
34,826744,0,781072
35,851496,0,775652
36,876248,0,759388
37,901000,0,747760
38,925744,0,763236
39,950496,0,777712
40,975248,0,773448
