Name,BytesAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,100,0,11248
2,495,0,101876
3,891,0,241216
4,1287,0,318648
5,1683,0,226064
6,2079,0,483772
7,2475,0,281756
8,2871,0,569084
9,3267,0,881068
10,3663,0,857000
11,4059,0,616900
12,4455,0,785084
13,4851,0,906328
14,5247,1,1254576
15,5643,1,1945332
16,6039,1,1345812
17,6435,1,1527892
18,6831,1,1755796
19,7227,3,3008584
20,7623,2,2097632
21,8019,2,2302660
22,8415,2,2617116
23,8811,4,4150884
24,9207,3,3254140
25,9603,3,3528020
