Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,104,0,18860
2,496,0,36116
3,888,0,16536
4,1288,0,26468
5,1680,0,17544
6,2080,0,29188
7,2472,0,18832
8,2872,0,18408
9,3264,0,22032
10,3664,0,16008
11,4056,0,13696
12,4456,0,15040
13,4848,0,16252
14,5248,0,18012
15,5640,0,19600
16,6040,0,21076
17,6432,0,21872
18,6832,0,3364
19,7224,0,3480
20,7624,0,3432
