Name,BitsAmount,AverageCRCTimeMS,AverageCRCTimeNS
1,8,0,3340
2,8,0,2660
3,8,0,1750
4,16,0,7090
5,16,0,2750
6,24,0,9480
7,24,0,4810
8,32,0,4380
9,32,0,3020
10,40,0,5600
11,40,0,6080
12,48,0,9420
13,48,0,7500
14,56,0,4190
15,56,0,6690
16,64,0,4010
17,64,0,2850
18,72,0,4980
19,72,0,160890
20,80,0,3860
