Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,8,0,4372
2,8,0,4428
3,8,0,4132
4,16,0,5596
5,16,0,5320
6,24,0,5628
7,24,0,5672
8,32,0,6296
9,32,0,6288
10,40,0,6780
11,40,0,3732
12,48,0,3576
13,48,0,3588
14,56,0,4016
15,56,0,3904
16,64,0,3224
17,64,0,3364
18,72,0,2932
19,72,0,3000
20,80,0,4276
