Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,104,0,17056
2,496,0,44716
3,888,0,42880
4,1288,0,42328
5,1680,0,24168
6,2080,0,19152
7,2472,0,19900
8,2872,0,15580
9,3264,0,16548
10,3664,0,18252
11,4056,0,20060
12,4456,0,22328
13,4848,0,18352
14,5248,0,7816
15,5640,0,8440
16,6040,0,9116
17,6432,0,11084
18,6832,0,10112
19,7224,0,10684
20,7624,0,12788
