Name,BytesAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,1,0,13924
2,4,0,42628
3,8,0,23128
4,12,0,27252
5,16,0,23084
6,20,0,29932
7,24,0,30316
8,28,0,24232
9,32,0,19904
10,36,0,19168
11,40,0,12764
12,44,0,12716
13,48,0,11888
14,51,0,12880
15,55,0,10724
16,59,0,13456
17,63,0,11940
18,67,0,13920
19,71,0,9296
20,75,0,12064
21,79,0,10584
22,83,0,12280
23,87,0,11680
24,91,0,14416
25,95,0,12608
