Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,10000,0,151500
2,34744,0,108508
3,59496,0,105328
4,84248,0,111760
5,109000,0,118988
6,133744,0,145448
7,158496,0,167768
8,183248,0,208544
9,208000,0,252992
10,232744,0,260916
11,257496,0,302484
12,282248,0,325252
13,307000,0,341600
14,331744,0,399212
15,356496,0,407748
16,381248,0,436996
17,406000,0,451732
18,430744,0,486088
19,455496,0,530848
20,480248,0,544280
21,505000,0,582016
22,529744,0,609800
23,554496,0,637408
24,579248,0,656372
25,604000,0,678024
26,628744,0,702996
27,653496,0,724612
28,678248,0,752640
29,703000,0,752028
30,727744,0,787480
31,752496,0,795784
32,777248,0,831428
33,802000,0,833980
34,826744,0,920968
35,851496,0,902708
36,876248,0,928536
37,901000,0,926496
38,925744,0,941380
39,950496,0,988308
40,975248,1,1024924
