Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,10000,0,127128
2,34744,0,185972
3,59496,0,246464
4,84248,0,332920
5,109000,0,282700
6,133744,0,270700
7,158496,0,335232
8,183248,0,365048
9,208000,0,417332
10,232744,0,415576
11,257496,0,462160
12,282248,0,487960
13,307000,0,460612
14,331744,0,490076
15,356496,0,489556
16,381248,0,450112
17,406000,0,447500
18,430744,0,473920
19,455496,0,406220
20,480248,0,407244
21,505000,0,469260
22,529744,0,435228
23,554496,0,432384
24,579248,0,468584
25,604000,0,476952
26,628744,0,448380
27,653496,0,477448
28,678248,0,491388
29,703000,0,486224
30,727744,0,534916
31,752496,0,497256
32,777248,0,506872
33,802000,0,527520
34,826744,0,546576
35,851496,0,471884
36,876248,0,508220
37,901000,0,501668
38,925744,0,525348
39,950496,0,539308
40,975248,0,556992
