Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
1,8,0,4616
2,8,0,5040
3,8,0,6600
4,16,0,7464
5,16,0,6480
6,24,0,6400
7,24,0,6364
8,32,0,9592
9,32,0,6268
10,40,0,8284
11,40,0,3608
12,48,0,4020
13,48,0,3440
14,56,0,3508
15,56,0,3808
16,64,0,3184
17,64,0,3436
18,72,0,5264
19,72,0,5452
20,80,0,4824
