Name,BitsAmount,AverageDualSumTimeMS,AverageDualSumTimeNS
2,1075000,0,610472
3,1150000,0,737640
4,1225000,0,819300
5,1300000,0,751592
6,1375000,0,796300
7,1450000,0,834148
8,1525000,0,835756
9,1600000,0,871196
10,1675000,1,930696
11,1750000,1,876836
12,1825000,0,936296
13,1900000,0,909768
14,1975000,1,965340
15,2050000,0,983480
16,2125000,1,1058680
17,2200000,1,1059976
18,2275000,1,1110860
19,2350000,1,1098576
20,2425000,1,1174504
21,2500000,1,1142508
22,2575000,1,1247704
23,2650000,1,1266756
24,2725000,1,1221040
25,2800000,1,1298168
26,2875000,1,1365956
27,2950000,1,1333212
28,3025000,1,1298548
29,3100000,1,1424160
30,3175000,1,1358476
31,3250000,1,1414772
32,3325000,1,1520748
33,3400000,1,1505012
34,3475000,1,1461112
35,3550000,1,1523124
36,3625000,1,1382424
37,3700000,1,1621976
38,3775000,1,1568388
39,3850000,1,1590400
40,3925000,1,1567824
